window_seconds,modality,fold,class,precision,recall,f1-score,support
2.0,accel_gyro,5,macro avg,0.5541881018509727,0.5492828195922556,0.5393070341629163,27317.0
2.0,accel_gyro,5,weighted avg,0.5513990109011905,0.5389318007101804,0.5379640897554196,27317.0
4.0,accel,1,locomotion,0.9213938411669368,0.851685393258427,0.8851693265862203,1335.0
4.0,accel,1,stairs,0.7781109445277361,0.7711738484398217,0.7746268656716417,673.0
4.0,accel,1,static,0.3439189189189189,0.3151702786377709,0.32891760904684975,1615.0
4.0,accel,1,eat_drink,0.4152966404574696,0.43695161694660317,0.42584901050574153,3989.0
4.0,accel,1,sports,0.676678445229682,0.7784552845528455,0.724007561436673,1968.0
4.0,accel,1,upper_body,0.3624630276956171,0.33860838985179603,0.3501298701298701,3981.0
4.0,accel,1,accuracy,0.5005530565592508,0.5005530565592508,0.5005530565592508,0.5005530565592508
4.0,accel,1,macro avg,0.5829769696660602,0.582007468614544,0.5814500405628328,13561.0
4.0,accel,1,weighted avg,0.4970463306490814,0.5005530565592508,0.49787275768763883,13561.0
4.0,accel,2,locomotion,0.884083044982699,0.7559171597633136,0.8149920255183413,1352.0
4.0,accel,2,stairs,0.6151603498542274,0.8167741935483871,0.7017738359201774,775.0
4.0,accel,2,static,0.29895366218236175,0.22111663902708678,0.2542103590721322,1809.0
4.0,accel,2,eat_drink,0.44516129032258067,0.5227272727272727,0.4808362369337979,3564.0
4.0,accel,2,sports,0.696151924037981,0.6752302472127969,0.6855314960629921,2063.0
4.0,accel,2,upper_body,0.429364278506559,0.41411192214111925,0.42160019816695565,4110.0
4.0,accel,2,accuracy,0.5129086520880568,0.5129086520880568,0.5129086520880568,0.5129086520880568
4.0,accel,2,macro avg,0.5614790916477347,0.567646239069996,0.559824025279066,13673.0
4.0,accel,2,weighted avg,0.5119754381264914,0.5129086520880568,0.5094960228316111,13673.0
4.0,accel,3,locomotion,0.8903903903903904,0.8798219584569733,0.8850746268656716,1348.0
4.0,accel,3,stairs,0.8101761252446184,0.61698956780924,0.700507614213198,671.0
4.0,accel,3,static,0.39106753812636164,0.41550925925925924,0.40291806958473625,1728.0
4.0,accel,3,eat_drink,0.5931649978232477,0.6974660865113899,0.6411010469356546,3907.0
4.0,accel,3,sports,0.6889763779527559,0.7555315704263357,0.7207207207207207,1853.0
4.0,accel,3,upper_body,0.4577832361068468,0.36769420468557334,0.4078227571115974,4055.0
4.0,accel,3,accuracy,0.5850169591505677,0.5850169591505677,0.5850169591505677,0.5850169591505677
4.0,accel,3,macro avg,0.6385931109407035,0.6221687745247952,0.6263574725719298,13562.0
4.0,accel,3,weighted avg,0.580306667853037,0.5850169591505677,0.5790710954398341,13562.0
4.0,accel,4,locomotion,0.9349804941482445,0.4659753726506805,0.6219723183391004,1543.0
4.0,accel,4,stairs,0.4942418426103647,0.5885714285714285,0.5372978612415232,875.0
4.0,accel,4,static,0.20804331013147717,0.20772200772200772,0.20788253477588872,1295.0
4.0,accel,4,eat_drink,0.43805986454009177,0.5494656070156207,0.487478725990761,3649.0
4.0,accel,4,sports,0.6061963419186264,0.7217777777777777,0.6589571921282207,2250.0
4.0,accel,4,upper_body,0.47354014598540145,0.38577799801783946,0.4251774986346259,4036.0
4.0,accel,4,accuracy,0.4901084407971864,0.4901084407971864,0.4901084407971864,0.4901084407971864
4.0,accel,4,macro avg,0.525843666555701,0.4865483652925591,0.4897943551850199,13648.0
4.0,accel,4,weighted avg,0.5142279341732018,0.4901084407971864,0.4891945146714884,13648.0
4.0,accel,5,locomotion,0.9373454245671888,0.740234375,0.8272098945070935,1536.0
4.0,accel,5,stairs,0.7518355359765051,0.6900269541778976,0.7196064652143359,742.0
4.0,accel,5,static,0.33589990375360923,0.21371708511941212,0.26122754491017963,1633.0
4.0,accel,5,eat_drink,0.5828990999526291,0.6105184817663111,0.5963891918090392,4031.0
4.0,accel,5,sports,0.6554238833181404,0.6448430493273543,0.6500904159132007,2230.0
4.0,accel,5,upper_body,0.3706114857009998,0.4583093732029902,0.40982131379354675,3478.0
4.0,accel,5,accuracy,0.5487912087912088,0.5487912087912088,0.5487912087912088,0.5487912087912088
4.0,accel,5,macro avg,0.605669222211512,0.5596082197656608,0.5773908043578992,13650.0
4.0,accel,5,weighted avg,0.5601756308890836,0.5487912087912088,0.5502001439584532,13650.0
4.0,gyro,1,locomotion,0.7450096587250483,0.8666666666666667,0.8012465373961218,1335.0
4.0,gyro,1,stairs,0.6715686274509803,0.20356612184249628,0.3124287343215507,673.0
4.0,gyro,1,static,0.2550335570469799,0.023529411764705882,0.04308390022675737,1615.0
4.0,gyro,1,eat_drink,0.4938132733408324,0.8804211581850088,0.6327357895685073,3989.0
4.0,gyro,1,sports,0.6827492034592626,0.7621951219512195,0.7202881152460985,1968.0
4.0,gyro,1,upper_body,0.6146632566069906,0.3622205476011052,0.45582424529792953,3981.0
4.0,gyro,1,accuracy,0.5741464493768896,0.5741464493768896,0.5741464493768896,0.5741464493768896
4.0,gyro,1,macro avg,0.5771395961050156,0.5164331713352003,0.49426788700949426,13561.0
4.0,gyro,1,weighted avg,0.561822784427414,0.5741464493768896,0.5239772553950737,13561.0
4.0,gyro,2,locomotion,0.9084315503173164,0.7411242603550295,0.8162932790224032,1352.0
4.0,gyro,2,stairs,0.44685172647257954,0.8516129032258064,0.5861456483126111,775.0
4.0,gyro,2,static,0.3,0.003316749585406302,0.0065609622744669215,1809.0
4.0,gyro,2,eat_drink,0.5800995024875621,0.49074074074074076,0.5316917464660282,3564.0
4.0,gyro,2,sports,0.7278195488721805,0.7038293746970431,0.7156234598324298,2063.0
4.0,gyro,2,upper_body,0.5144317994392215,0.7588807785888078,0.6131917821684852,4110.0
4.0,gyro,2,accuracy,0.5842170701382287,0.5842170701382287,0.5842170701382287,0.5842170701382287
4.0,gyro,2,macro avg,0.5796056879314767,0.591584134532139,0.5449178130127373,13673.0
4.0,gyro,2,weighted avg,0.5705032250368932,0.5842170701382287,0.5456928968175803,13673.0
4.0,gyro,3,locomotion,0.875,0.7270029673590505,0.7941653160453809,1348.0
4.0,gyro,3,stairs,0.7446351931330472,0.5171385991058122,0.6103781882145998,671.0
4.0,gyro,3,static,0.15714285714285714,0.00636574074074074,0.012235817575083427,1728.0
4.0,gyro,3,eat_drink,0.706415620641562,0.25927821858203226,0.37932971353679085,3907.0
4.0,gyro,3,sports,0.625515947467167,0.8996222342147868,0.7379371403275786,1853.0
4.0,gyro,3,upper_body,0.4361470475214551,0.8397040690505548,0.5741021750126454,4055.0
4.0,gyro,3,accuracy,0.5473381507152337,0.5473381507152337,0.5473381507152337,0.5473381507152337
4.0,gyro,3,macro avg,0.5908094443176813,0.5415186381754963,0.5180247251186798,13562.0
4.0,gyro,3,weighted avg,0.5632145870769706,0.5473381507152337,0.49245429395239915,13562.0
4.0,gyro,4,locomotion,0.9627329192546584,0.5022683084899546,0.6601362862010222,1543.0
4.0,gyro,4,stairs,0.4741463414634146,0.5554285714285714,0.511578947368421,875.0
4.0,gyro,4,static,0.2916666666666667,0.010810810810810811,0.02084884586746091,1295.0
4.0,gyro,4,eat_drink,0.53104,0.9095642641819677,0.6705727851298111,3649.0
4.0,gyro,4,sports,0.6156262269336474,0.6968888888888889,0.653741922034605,2250.0
4.0,gyro,4,upper_body,0.6972754793138244,0.513627353815659,0.5915251819089742,4036.0
4.0,gyro,4,accuracy,0.6033851113716295,0.6033851113716295,0.6033851113716295,0.6033851113716295
4.0,gyro,4,macro avg,0.5954146056053687,0.5314313662693088,0.5180673280850491,13648.0
4.0,gyro,4,weighted avg,0.6165893230975279,0.6033851113716295,0.5713991922373293,13648.0
4.0,gyro,5,locomotion,0.881896551724138,0.666015625,0.7589020771513353,1536.0
4.0,gyro,5,stairs,0.4721254355400697,0.36522911051212936,0.41185410334346506,742.0
4.0,gyro,5,static,0.20855614973262032,0.023882424984690752,0.04285714285714286,1633.0
4.0,gyro,5,eat_drink,0.4827849066192352,0.9426941205656165,0.6385481431692153,4031.0
4.0,gyro,5,sports,0.6236600306278713,0.7304932735426009,0.6728624535315985,2230.0
4.0,gyro,5,upper_body,0.6316211878009631,0.22627947096032203,0.3331922099915326,3478.0
4.0,gyro,5,accuracy,0.553040293040293,0.553040293040293,0.553040293040293,0.553040293040293
4.0,gyro,5,macro avg,0.550107377007483,0.4924323375942266,0.4763693550073816,13650.0
4.0,gyro,5,weighted avg,0.5552475228707997,0.553040293040293,0.496305376726164,13650.0
4.0,accel_gyro,1,locomotion,0.9860557768924303,0.3707865168539326,0.5389221556886228,1335.0
4.0,accel_gyro,1,stairs,0.5166994106090373,0.7815750371471025,0.6221170904790065,673.0
4.0,accel_gyro,1,static,0.23478260869565218,0.13374613003095975,0.17041420118343195,1615.0
